Fanduel,TEAMS,vegas
ARI,Arizona Cardinals,Arizona
ATL,Atlanta Falcons,Atlanta
BAL,Baltimore Ravens,Baltimore
BUF,Buffalo Bills,Buffalo
CAR,Carolina Panthers,Carolina
CHI,Chicago Bears,Chicago
CIN,Cincinnati Bengals,Cincinnati
CLE,Cleveland Browns,Cleveland
DAL,Dallas Cowboys,Dallas
DEN,Denver Broncos,Denver
DET,Detroit Lions,Detroit
GB,Green Bay Packer,Green Bay
HOU,Houston Texans,Houston
IND,Indianapolis Colts,Indianapolis
JAC,Jacksonville Jaguars,Jacksonville
KC,Kansas City Chiefs,Kansas City
LAR,Los Angeles Rams,L.A. Rams
LAC,Los Angeles Chargers,L.A. Chargers
MIA,Miami Dolphins,Miami
MIN,Minnesota Vikings,Minnesota
NE,New England Patriots,New England
NO,New Orleans Saints,New Orleans
NYG,New York Giants,N.Y. Giants
NYJ,New York Jets,N.Y. Jets
OAK,Oakland Raiders,Oakland
PHI,Philadelphia Eagles,Philadelphia
PIT,Pittsburgh Steelers,Pittsburgh
SD,San Diego Chargers,San Diego
SF,San Francisco 49ers,San Francisco
SEA,Seattle Seahawks,Seattle
TB,Tampa Bay Buccaneers,Tampa Bay
TEN,Tennessee Titans,Tennessee
WAS,Washington Redskins,Washington
